Title,Date,Rating,Review
Incredible quality and service,01-15-24,5,"The veggie supreme was outstanding. The crust was thin and traditional, and the perfectly balanced sauce with hints of oregano and garlic. To top it off, the creamy buffalo mozzarella that melted beautifully. Service was a bit slow despite the restaurant not being full. The decor is simple but charming, giving it a real rustic feel. Definitely worth every penny."
Will definitely return,01-20-24,4,The white truffle pizza was very tasty. I particularly enjoyed how the crust was perfectly charred from the wood-fired oven. The perfectly balanced sauce with hints of oregano and garlic and high-quality cheese that didn't feel greasy were highlights. Service was a bit slow despite the restaurant not being full. The lunch special is an absolute steal for the quality you get. Just a minor wait time kept it from being a full 5 stars.
It was okay,01-27-24,3,"The veggie supreme was decent enough, though nothing stood out. The crust was perfectly charred from the wood-fired oven. The rich and savory tomato base while the cheese ratio was spot on was just okay. The decor is simple but charming, giving it a real rustic feel. However, The staff was incredibly knowledgeable about the wine pairings. Great value for the portion sizes we received."
Incredible quality and service,01-13-24,5,"The veggie supreme was outstanding. The crust was slightly chewy with a great sourdough flavor, and the tomato sauce had a bright, fresh acidity. To top it off, the high-quality cheese that didn't feel greasy. The staff was incredibly knowledgeable about the wine pairings. The ambiance is cozy and perfect for a date night. Definitely worth every penny."
Not sure I'll be back,01-29-24,3,"The garlic knots was decent enough, though nothing stood out. The crust was thin and traditional. The tomato sauce had a bright, fresh acidity while the generous portions of fresh mozzarella was just okay. The ambiance is cozy and perfect for a date night. However, The server was very attentive and made sure our water glasses were never empty. Great value for the portion sizes we received."
Deeply disappointed,03-04-24,1,"This was honestly a disaster. The veggie supreme arrived cold and the crust was perfectly charred from the wood-fired oven. The tomato sauce had a bright, fresh acidity was off and the generous portions of fresh mozzarella was poor quality. We had to flag down the waiter multiple times just to get the check. Great value for the portion sizes we received. It gets quite loud during the dinner rush, making conversation difficult. I cannot recommend this place to anyone."
My new weekly tradition,01-26-24,5,"The homemade pasta was outstanding. The crust was slightly chewy with a great sourdough flavor, and the perfectly balanced sauce with hints of oregano and garlic. To top it off, the cheese ratio was spot on. We had to flag down the waiter multiple times just to get the check. The decor is simple but charming, giving it a real rustic feel. Definitely worth every penny."
Underwhelming,12-29-23,2,"I had high hopes for the garlic knots, but it fell short. The perfectly balanced sauce with hints of oregano and garlic was disappointing and the crust was slightly chewy with a great sourdough flavor. The cheese was a bit rubbery lacked flavor. The manager personally checked on our table to ensure everything was to our liking. Great value for the portion sizes we received. The decor is simple but charming, giving it a real rustic feel."
Best meal in a long time,01-05-24,5,"The homemade pasta was outstanding. The crust was a bit too doughy in the center, and the tomato sauce had a bright, fresh acidity. To top it off, the cheese was a bit rubbery. The manager personally checked on our table to ensure everything was to our liking. Loved the open kitchen concept where you can see the chefs working. Definitely worth every penny."
Disappointing evening,04-08-24,2,"I had high hopes for the veggie supreme, but it fell short. The tomato sauce had a bright, fresh acidity was disappointing and the crust was slightly chewy with a great sourdough flavor. The cheese was a bit rubbery lacked flavor. We had to flag down the waiter multiple times just to get the check. Great value for the portion sizes we received. Loved the open kitchen concept where you can see the chefs working."
Incredible quality and service,02-10-24,5,"The garlic knots was outstanding. The crust was perfectly charred from the wood-fired oven, and the tomato sauce had a bright, fresh acidity. To top it off, the high-quality cheese that didn't feel greasy. The staff was incredibly knowledgeable about the wine pairings. The decor is simple but charming, giving it a real rustic feel. Definitely worth every penny."
Better options elsewhere,03-12-24,2,"I had high hopes for the garlic knots, but it fell short. The sauce was a bit bland and lacked seasoning was disappointing and the crust was perfectly charred from the wood-fired oven. The high-quality cheese that didn't feel greasy lacked flavor. The manager personally checked on our table to ensure everything was to our liking. I felt it was a bit overpriced for what is essentially bread and cheese. It gets quite loud during the dinner rush, making conversation difficult."
